PuntoConteo,Dia,Liviano,Autobuses,C23E,C4E,C5E
500,05/07/2019,38051,347,368,895,1271
500,05/08/2015,35384,360,509,962,979
500,05/08/2016,38698,368,474,928,1118
500,05/08/2017,33335,258,385,778,1075
500,05/08/2018,24550,126,217,595,661
500,05/08/2019,30717,262,353,680,821
500,05/09/2015,32976,275,413,925,930
500,05/09/2016,31954,255,324,841,937
500,05/09/2017,35138,377,397,865,1148
500,05/09/2018,32709,301,398,895,1094
500,05/09/2019,29080,249,250,469,761
500,05/10/2015,32543,292,399,880,909
500,05/10/2016,33831,350,390,872,1087
500,05/10/2017,28736,308,375,804,919
500,05/10/2018,25043,272,229,452,675
500,05/10/2019,25063,272,229,452,675
500,05/11/2015,36084,333,499,940,1125
500,05/11/2016,34813,307,422,883,1036
500,05/11/2017,26086,168,265,583,640
500,05/11/2018,7313,29207,319,361,756
500,05/11/2019,26163,168,265,583,640
500,05/12/2015,38236,335,542,922,1010
500,05/12/2016,33578,328,337,807,996
500,05/12/2017,36628,353,428,929,1096
500,05/12/2018,32776,372,499,808,1143
500,05/12/2019,36740,353,428,929,1096
500,06/01/2015,32694,271,402,1051,882
500,06/01/2016,32220,260,364,1036,1084
500,06/01/2017,32096,317,365,844,1094
500,06/01/2018,28554,289,404,775,1009
500,06/01/2019,21414,112,245,599,668
500,06/02/2015,40590,324,411,1064,974
500,06/02/2016,33465,227,402,928,1005
500,06/02/2017,33636,291,370,855,1075
500,06/02/2018,34310,339,425,872,1072
500,06/02/2019,34810,306,359,933,1190
500,06/03/2015,39569,351,434,1074,955
500,06/03/2016,31328,202,335,659,659
500,06/03/2017,34635,359,391,871,1028
500,06/03/2018,34638,352,453,859,1113
500,06/03/2019,35575,350,401,953,1153
500,06/04/2015,31988,229,379,936,895
500,06/04/2016,36522,319,429,968,1039
500,06/04/2017,36764,340,472,876,1162
500,06/04/2018,32693,478,564,759,1161
500,06/04/2019,33637,265,354,876,1081
500,06/05/2015,37911,291,398,1078,899
500,06/05/2016,37405,361,476,918,1061
500,06/05/2017,33201,286,510,886,1044
500,06/05/2018,25878,139,249,574,657
500,06/05/2019,31519,276,361,839,1034
500,06/06/2015,34411,225,424,1000,858
500,06/06/2016,34571,306,360,835,973
500,06/06/2017,34704,364,398,784,1149
500,06/06/2018,31922,375,442,829,1096
500,06/06/2019,34976,366,435,882,1246
500,06/07/2015,33127,255,337,906,900
500,06/07/2016,36024,350,461,861,1143
500,06/07/2017,36514,343,429,912,1080
500,06/07/2018,31336,382,471,796,1187
500,06/07/2019,33486,274,407,920,1085
500,06/08/2015,36191,375,515,945,982
500,06/08/2016,33869,288,449,874,994
500,06/08/2017,25831,117,231,579,643
500,06/08/2018,29726,258,425,730,1021
500,06/08/2019,36635,351,469,934,1148
500,06/09/2015,28079,158,275,668,509
500,06/09/2016,34830,328,373,871,1101
500,06/09/2017,34338,395,399,835,1149
500,06/09/2018,31688,372,455,828,1113
500,06/09/2019,29770,256,250,443,762
500,06/10/2015,34362,312,397,962,1008
500,06/10/2016,33610,386,442,844,1087
500,06/10/2017,27024,230,268,739,786
500,06/10/2018,23814,212,226,424,664
500,06/10/2019,23834,212,226,424,664
500,06/11/2015,36593,370,539,918,1147
500,06/11/2016,28574,134,282,581,630
500,06/11/2017,33029,323,327,769,1012
500,06/11/2018,6846,31153,341,402,830
500,06/11/2019,33125,323,327,769,1012
500,06/12/2015,31995,201,318,649,622
500,06/12/2016,34740,339,430,814,1198
500,06/12/2017,37041,443,452,856,1113
500,06/12/2018,33518,383,487,843,1175
500,06/12/2019,37151,443,452,856,1113
500,07/01/2015,33641,264,388,1082,873
500,07/01/2016,32698,275,418,1017,1004
500,07/01/2017,28713,238,385,821,1111
500,07/01/2018,24582,143,238,532,668
500,07/01/2019,28361,224,321,835,1037
500,07/02/2015,36397,290,443,1008,895
500,07/02/2016,26972,140,288,623,542
500,07/02/2017,35546,327,405,936,1151
500,07/02/2018,35598,340,383,887,1084
500,07/02/2019,33650,323,336,923,1167
500,07/03/2015,35344,245,414,1052,808
500,07/03/2016,33377,313,379,873,929
500,07/03/2017,35845,366,423,896,1154
500,07/03/2018,35481,368,419,860,1142
500,07/03/2019,34770,420,440,890,1202
500,07/04/2015,36529,300,425,1052,937
500,07/04/2016,36523,302,450,938,1077
500,07/04/2017,39122,374,487,838,1175
500,07/04/2018,32134,324,403,790,1063
500,07/04/2019,26756,160,270,598,674
500,07/05/2015,37474,329,399,1023,909
500,07/05/2016,35865,285,502,922,1010
500,07/05/2017,26003,124,243,637,617
500,07/05/2018,30753,295,350,743,1015
500,07/05/2019,36036,354,406,906,1161
500,07/06/2015,26305,157,306,634,438
500,07/06/2016,37996,351,433,922,1056
500,07/06/2017,36023,403,448,829,1139
500,07/06/2018,32116,361,487,833,1103
500,07/06/2019,36448,378,426,871,1232
500,07/07/2015,34699,299,460,911,990
500,07/07/2016,35500,324,463,823,1116
500,07/07/2017,35315,349,453,767,1065
500,07/07/2018,30294,289,438,883,1090
500,07/07/2019,25810,135,266,593,628
500,07/08/2015,38047,405,474,939,1052
500,07/08/2016,27426,138,269,600,611
500,07/08/2017,31290,284,333,754,997
500,07/08/2018,32915,342,404,861,1123
500,07/08/2019,37098,342,468,892,1110
500,07/09/2015,32959,295,361,892,886
500,07/09/2016,35349,374,426,906,1142
500,07/09/2017,34947,336,449,776,1129
500,07/09/2018,31920,341,392,838,1061
500,07/09/2019,28548,234,292,518,749
500,07/10/2015,35051,324,459,994,989
500,07/10/2016,35768,389,449,845,1099
500,07/10/2017,31553,217,324,817,971
500,07/10/2018,20826,91,173,305,355
500,07/10/2019,20839,91,173,305,355
500,07/11/2015,34996,331,460,898,1042
500,07/11/2016,32391,262,352,832,974
500,07/11/2017,34858,395,448,883,1138
500,07/11/2018,6891,32589,323,431,856
500,07/11/2019,34960,395,448,883,1138
500,07/12/2015,36944,335,481,907,970
500,07/12/2016,36029,356,470,824,1161
500,07/12/2017,36784,444,485,765,1129
500,07/12/2018,34568,388,495,808,1201
500,07/12/2019,36891,444,485,765,1129
500,08/01/2015,34435,287,385,1064,902
500,08/01/2016,33905,298,400,976,1011
500,08/01/2017,23886,196,272,642,777
500,08/01/2018,31379,270,367,692,984
500,08/01/2019,30317,258,362,902,1178
500,08/02/2015,29101,158,273,727,482
500,08/02/2016,32329,257,365,834,954
500,08/02/2017,36771,350,428,959,1161
500,08/02/2018,35135,312,419,862,1102
500,08/02/2019,35329,346,438,866,1225
500,08/03/2015,27257,153,292,670,517
500,08/03/2016,36003,345,465,945,1044
